case_id,base_id,condition,dataset,model_a,model_b,dimension,user_id,order,list_a_model,list_b_model,ndcg_winner,cov_winner,gt_ndcg_a,gt_ndcg_b,gt_cov_a,gt_cov_b
amazon_cds__lightgcn_only_vs_fixed__diversity__u5338__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u5338__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,5338,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
mind__gbaf_vs_fixed__diversity__u40271__fwd,mind__gbaf_vs_fixed__diversity__u40271__pair,local_only,mind,gbaf,fixed,diversity,40271,fwd,gbaf,fixed,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
mind__lightgcn_only_vs_fixed__diversity__u35942__rev,mind__lightgcn_only_vs_fixed__diversity__u35942__pair,local_only,mind,lightgcn_only,fixed,diversity,35942,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
yelp__gbaf_vs_concat_mlp__diversity__u81116__fwd,yelp__gbaf_vs_concat_mlp__diversity__u81116__pair,local_only,yelp,gbaf,concat_mlp,diversity,81116,fwd,gbaf,concat_mlp,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
amazon_cds__lightgcn_only_vs_fixed__diversity__u2105__fwd,amazon_cds__lightgcn_only_vs_fixed__diversity__u2105__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,2105,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
mind__lightgcn_only_vs_fixed__diversity__u40271__fwd,mind__lightgcn_only_vs_fixed__diversity__u40271__pair,local_only,mind,lightgcn_only,fixed,diversity,40271,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
yelp__gbaf_vs_concat_mlp__diversity__u362__fwd,yelp__gbaf_vs_concat_mlp__diversity__u362__pair,local_only,yelp,gbaf,concat_mlp,diversity,362,fwd,gbaf,concat_mlp,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
amazon_cds__lightgcn_only_vs_fixed__diversity__u906__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u906__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,906,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
mind__gbaf_vs_fixed__diversity__u44378__rev,mind__gbaf_vs_fixed__diversity__u44378__pair,local_only,mind,gbaf,fixed,diversity,44378,rev,fixed,gbaf,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
amazon_cds__gbaf_vs_fixed__diversity__u13752__rev,amazon_cds__gbaf_vs_fixed__diversity__u13752__pair,local_only,amazon_cds,gbaf,fixed,diversity,13752,rev,fixed,gbaf,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
amazon_cds__gbaf_vs_fixed__diversity__u13315__fwd,amazon_cds__gbaf_vs_fixed__diversity__u13315__pair,local_only,amazon_cds,gbaf,fixed,diversity,13315,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
yelp__gbaf_vs_concat_mlp__diversity__u47111__rev,yelp__gbaf_vs_concat_mlp__diversity__u47111__pair,local_only,yelp,gbaf,concat_mlp,diversity,47111,rev,concat_mlp,gbaf,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
yelp__lightgcn_only_vs_fixed__diversity__u2600__rev,yelp__lightgcn_only_vs_fixed__diversity__u2600__pair,local_only,yelp,lightgcn_only,fixed,diversity,2600,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
yelp__gbaf_vs_concat_mlp__diversity__u78602__rev,yelp__gbaf_vs_concat_mlp__diversity__u78602__pair,local_only,yelp,gbaf,concat_mlp,diversity,78602,rev,concat_mlp,gbaf,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
yelp__lightgcn_only_vs_fixed__diversity__u362__rev,yelp__lightgcn_only_vs_fixed__diversity__u362__pair,local_only,yelp,lightgcn_only,fixed,diversity,362,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
amazon_cds__gbaf_vs_fixed__diversity__u15509__fwd,amazon_cds__gbaf_vs_fixed__diversity__u15509__pair,local_only,amazon_cds,gbaf,fixed,diversity,15509,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
mind__gbaf_vs_fixed__diversity__u34804__fwd,mind__gbaf_vs_fixed__diversity__u34804__pair,local_only,mind,gbaf,fixed,diversity,34804,fwd,gbaf,fixed,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
yelp__lightgcn_only_vs_fixed__diversity__u19308__rev,yelp__lightgcn_only_vs_fixed__diversity__u19308__pair,local_only,yelp,lightgcn_only,fixed,diversity,19308,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
mind__gbaf_vs_fixed__diversity__u5744__fwd,mind__gbaf_vs_fixed__diversity__u5744__pair,local_only,mind,gbaf,fixed,diversity,5744,fwd,gbaf,fixed,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
mind__gbaf_vs_fixed__diversity__u29787__rev,mind__gbaf_vs_fixed__diversity__u29787__pair,local_only,mind,gbaf,fixed,diversity,29787,rev,fixed,gbaf,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
amazon_cds__lightgcn_only_vs_fixed__diversity__u13315__fwd,amazon_cds__lightgcn_only_vs_fixed__diversity__u13315__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,13315,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
mind__lightgcn_only_vs_fixed__diversity__u29787__rev,mind__lightgcn_only_vs_fixed__diversity__u29787__pair,local_only,mind,lightgcn_only,fixed,diversity,29787,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
amazon_cds__gbaf_vs_fixed__diversity__u14321__rev,amazon_cds__gbaf_vs_fixed__diversity__u14321__pair,local_only,amazon_cds,gbaf,fixed,diversity,14321,rev,fixed,gbaf,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
amazon_cds__gbaf_vs_fixed__diversity__u906__rev,amazon_cds__gbaf_vs_fixed__diversity__u906__pair,local_only,amazon_cds,gbaf,fixed,diversity,906,rev,fixed,gbaf,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
yelp__lightgcn_only_vs_fixed__diversity__u24594__rev,yelp__lightgcn_only_vs_fixed__diversity__u24594__pair,local_only,yelp,lightgcn_only,fixed,diversity,24594,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
yelp__lightgcn_only_vs_fixed__diversity__u18930__fwd,yelp__lightgcn_only_vs_fixed__diversity__u18930__pair,local_only,yelp,lightgcn_only,fixed,diversity,18930,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
yelp__lightgcn_only_vs_fixed__diversity__u33987__rev,yelp__lightgcn_only_vs_fixed__diversity__u33987__pair,local_only,yelp,lightgcn_only,fixed,diversity,33987,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
amazon_cds__gbaf_vs_fixed__diversity__u14125__fwd,amazon_cds__gbaf_vs_fixed__diversity__u14125__pair,local_only,amazon_cds,gbaf,fixed,diversity,14125,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
mind__lightgcn_only_vs_fixed__diversity__u42678__rev,mind__lightgcn_only_vs_fixed__diversity__u42678__pair,local_only,mind,lightgcn_only,fixed,diversity,42678,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
yelp__lightgcn_only_vs_fixed__diversity__u78602__fwd,yelp__lightgcn_only_vs_fixed__diversity__u78602__pair,local_only,yelp,lightgcn_only,fixed,diversity,78602,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
yelp__gbaf_vs_concat_mlp__diversity__u18930__fwd,yelp__gbaf_vs_concat_mlp__diversity__u18930__pair,local_only,yelp,gbaf,concat_mlp,diversity,18930,fwd,gbaf,concat_mlp,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
amazon_cds__lightgcn_only_vs_fixed__diversity__u965__fwd,amazon_cds__lightgcn_only_vs_fixed__diversity__u965__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,965,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
amazon_cds__gbaf_vs_fixed__diversity__u2105__rev,amazon_cds__gbaf_vs_fixed__diversity__u2105__pair,local_only,amazon_cds,gbaf,fixed,diversity,2105,rev,fixed,gbaf,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
amazon_cds__gbaf_vs_fixed__diversity__u5338__fwd,amazon_cds__gbaf_vs_fixed__diversity__u5338__pair,local_only,amazon_cds,gbaf,fixed,diversity,5338,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
mind__lightgcn_only_vs_fixed__diversity__u7434__fwd,mind__lightgcn_only_vs_fixed__diversity__u7434__pair,local_only,mind,lightgcn_only,fixed,diversity,7434,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
yelp__gbaf_vs_concat_mlp__diversity__u19308__rev,yelp__gbaf_vs_concat_mlp__diversity__u19308__pair,local_only,yelp,gbaf,concat_mlp,diversity,19308,rev,concat_mlp,gbaf,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
mind__gbaf_vs_fixed__diversity__u35942__fwd,mind__gbaf_vs_fixed__diversity__u35942__pair,local_only,mind,gbaf,fixed,diversity,35942,fwd,gbaf,fixed,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
amazon_cds__lightgcn_only_vs_fixed__diversity__u14321__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u14321__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,14321,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
amazon_cds__lightgcn_only_vs_fixed__diversity__u15509__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u15509__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,15509,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
amazon_cds__gbaf_vs_fixed__global_diversity__annotator_03__fwd,amazon_cds__gbaf_vs_fixed__global_diversity__pair,global_stats,amazon_cds,gbaf,fixed,global_diversity,,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
amazon_cds__lightgcn_only_vs_fixed__global_diversity__annotator_03__fwd,amazon_cds__lightgcn_only_vs_fixed__global_diversity__pair,global_stats,amazon_cds,lightgcn_only,fixed,global_diversity,,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
mind__gbaf_vs_fixed__global_diversity__annotator_03__fwd,mind__gbaf_vs_fixed__global_diversity__pair,global_stats,mind,gbaf,fixed,global_diversity,,fwd,gbaf,fixed,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
mind__lightgcn_only_vs_fixed__global_diversity__annotator_03__fwd,mind__lightgcn_only_vs_fixed__global_diversity__pair,global_stats,mind,lightgcn_only,fixed,global_diversity,,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
yelp__gbaf_vs_concat_mlp__global_diversity__annotator_03__rev,yelp__gbaf_vs_concat_mlp__global_diversity__pair,global_stats,yelp,gbaf,concat_mlp,global_diversity,,rev,concat_mlp,gbaf,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
yelp__lightgcn_only_vs_fixed__global_diversity__annotator_03__fwd,yelp__lightgcn_only_vs_fixed__global_diversity__pair,global_stats,yelp,lightgcn_only,fixed,global_diversity,,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
mind__lightgcn_only_vs_fixed__diversity__u35942__fwd,mind__lightgcn_only_vs_fixed__diversity__u35942__pair,local_only,mind,lightgcn_only,fixed,diversity,35942,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
amazon_cds__lightgcn_only_vs_fixed__diversity__u15509__fwd,amazon_cds__lightgcn_only_vs_fixed__diversity__u15509__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,15509,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
mind__gbaf_vs_fixed__diversity__u34804__fwd,mind__gbaf_vs_fixed__diversity__u34804__pair,local_only,mind,gbaf,fixed,diversity,34804,fwd,gbaf,fixed,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
mind__lightgcn_only_vs_fixed__diversity__u23211__rev,mind__lightgcn_only_vs_fixed__diversity__u23211__pair,local_only,mind,lightgcn_only,fixed,diversity,23211,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
mind__lightgcn_only_vs_fixed__diversity__u34804__fwd,mind__lightgcn_only_vs_fixed__diversity__u34804__pair,local_only,mind,lightgcn_only,fixed,diversity,34804,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
mind__gbaf_vs_fixed__diversity__u7434__rev,mind__gbaf_vs_fixed__diversity__u7434__pair,local_only,mind,gbaf,fixed,diversity,7434,rev,fixed,gbaf,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
amazon_cds__lightgcn_only_vs_fixed__diversity__u13752__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u13752__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,13752,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
yelp__lightgcn_only_vs_fixed__diversity__u18930__rev,yelp__lightgcn_only_vs_fixed__diversity__u18930__pair,local_only,yelp,lightgcn_only,fixed,diversity,18930,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
yelp__gbaf_vs_concat_mlp__diversity__u18930__fwd,yelp__gbaf_vs_concat_mlp__diversity__u18930__pair,local_only,yelp,gbaf,concat_mlp,diversity,18930,fwd,gbaf,concat_mlp,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
yelp__lightgcn_only_vs_fixed__diversity__u47111__rev,yelp__lightgcn_only_vs_fixed__diversity__u47111__pair,local_only,yelp,lightgcn_only,fixed,diversity,47111,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
mind__gbaf_vs_fixed__diversity__u35942__rev,mind__gbaf_vs_fixed__diversity__u35942__pair,local_only,mind,gbaf,fixed,diversity,35942,rev,fixed,gbaf,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
amazon_cds__gbaf_vs_fixed__diversity__u906__fwd,amazon_cds__gbaf_vs_fixed__diversity__u906__pair,local_only,amazon_cds,gbaf,fixed,diversity,906,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
yelp__lightgcn_only_vs_fixed__diversity__u24594__rev,yelp__lightgcn_only_vs_fixed__diversity__u24594__pair,local_only,yelp,lightgcn_only,fixed,diversity,24594,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
mind__gbaf_vs_fixed__diversity__u40271__fwd,mind__gbaf_vs_fixed__diversity__u40271__pair,local_only,mind,gbaf,fixed,diversity,40271,fwd,gbaf,fixed,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
amazon_cds__lightgcn_only_vs_fixed__diversity__u906__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u906__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,906,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
yelp__gbaf_vs_concat_mlp__diversity__u33987__rev,yelp__gbaf_vs_concat_mlp__diversity__u33987__pair,local_only,yelp,gbaf,concat_mlp,diversity,33987,rev,concat_mlp,gbaf,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
amazon_cds__lightgcn_only_vs_fixed__diversity__u5338__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u5338__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,5338,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
amazon_cds__lightgcn_only_vs_fixed__diversity__u13315__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u13315__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,13315,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
mind__lightgcn_only_vs_fixed__diversity__u29787__rev,mind__lightgcn_only_vs_fixed__diversity__u29787__pair,local_only,mind,lightgcn_only,fixed,diversity,29787,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
amazon_cds__gbaf_vs_fixed__diversity__u14125__fwd,amazon_cds__gbaf_vs_fixed__diversity__u14125__pair,local_only,amazon_cds,gbaf,fixed,diversity,14125,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
mind__lightgcn_only_vs_fixed__diversity__u5744__rev,mind__lightgcn_only_vs_fixed__diversity__u5744__pair,local_only,mind,lightgcn_only,fixed,diversity,5744,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
yelp__lightgcn_only_vs_fixed__diversity__u33987__fwd,yelp__lightgcn_only_vs_fixed__diversity__u33987__pair,local_only,yelp,lightgcn_only,fixed,diversity,33987,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
mind__gbaf_vs_fixed__diversity__u42678__rev,mind__gbaf_vs_fixed__diversity__u42678__pair,local_only,mind,gbaf,fixed,diversity,42678,rev,fixed,gbaf,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
yelp__lightgcn_only_vs_fixed__diversity__u78602__fwd,yelp__lightgcn_only_vs_fixed__diversity__u78602__pair,local_only,yelp,lightgcn_only,fixed,diversity,78602,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
amazon_cds__gbaf_vs_fixed__diversity__u2105__fwd,amazon_cds__gbaf_vs_fixed__diversity__u2105__pair,local_only,amazon_cds,gbaf,fixed,diversity,2105,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
mind__gbaf_vs_fixed__diversity__u44378__rev,mind__gbaf_vs_fixed__diversity__u44378__pair,local_only,mind,gbaf,fixed,diversity,44378,rev,fixed,gbaf,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
yelp__gbaf_vs_concat_mlp__diversity__u78602__rev,yelp__gbaf_vs_concat_mlp__diversity__u78602__pair,local_only,yelp,gbaf,concat_mlp,diversity,78602,rev,concat_mlp,gbaf,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
yelp__lightgcn_only_vs_fixed__diversity__u2600__rev,yelp__lightgcn_only_vs_fixed__diversity__u2600__pair,local_only,yelp,lightgcn_only,fixed,diversity,2600,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
amazon_cds__gbaf_vs_fixed__diversity__u5338__fwd,amazon_cds__gbaf_vs_fixed__diversity__u5338__pair,local_only,amazon_cds,gbaf,fixed,diversity,5338,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
yelp__gbaf_vs_concat_mlp__diversity__u47111__fwd,yelp__gbaf_vs_concat_mlp__diversity__u47111__pair,local_only,yelp,gbaf,concat_mlp,diversity,47111,fwd,gbaf,concat_mlp,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
mind__gbaf_vs_fixed__diversity__u28130__fwd,mind__gbaf_vs_fixed__diversity__u28130__pair,local_only,mind,gbaf,fixed,diversity,28130,fwd,gbaf,fixed,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
amazon_cds__gbaf_vs_fixed__diversity__u965__fwd,amazon_cds__gbaf_vs_fixed__diversity__u965__pair,local_only,amazon_cds,gbaf,fixed,diversity,965,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
mind__lightgcn_only_vs_fixed__diversity__u7434__rev,mind__lightgcn_only_vs_fixed__diversity__u7434__pair,local_only,mind,lightgcn_only,fixed,diversity,7434,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
mind__lightgcn_only_vs_fixed__diversity__u44378__fwd,mind__lightgcn_only_vs_fixed__diversity__u44378__pair,local_only,mind,lightgcn_only,fixed,diversity,44378,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
amazon_cds__gbaf_vs_fixed__diversity__u13209__rev,amazon_cds__gbaf_vs_fixed__diversity__u13209__pair,local_only,amazon_cds,gbaf,fixed,diversity,13209,rev,fixed,gbaf,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
yelp__lightgcn_only_vs_fixed__diversity__u81116__rev,yelp__lightgcn_only_vs_fixed__diversity__u81116__pair,local_only,yelp,lightgcn_only,fixed,diversity,81116,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
yelp__gbaf_vs_concat_mlp__diversity__u362__rev,yelp__gbaf_vs_concat_mlp__diversity__u362__pair,local_only,yelp,gbaf,concat_mlp,diversity,362,rev,concat_mlp,gbaf,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
amazon_cds__lightgcn_only_vs_fixed__diversity__u14125__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u14125__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,14125,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
amazon_cds__gbaf_vs_fixed__diversity__u14321__rev,amazon_cds__gbaf_vs_fixed__diversity__u14321__pair,local_only,amazon_cds,gbaf,fixed,diversity,14321,rev,fixed,gbaf,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
yelp__gbaf_vs_concat_mlp__diversity__u18392__rev,yelp__gbaf_vs_concat_mlp__diversity__u18392__pair,local_only,yelp,gbaf,concat_mlp,diversity,18392,rev,concat_mlp,gbaf,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
mind__lightgcn_only_vs_fixed__diversity__u28130__rev,mind__lightgcn_only_vs_fixed__diversity__u28130__pair,local_only,mind,lightgcn_only,fixed,diversity,28130,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
amazon_cds__gbaf_vs_fixed__diversity__u15509__rev,amazon_cds__gbaf_vs_fixed__diversity__u15509__pair,local_only,amazon_cds,gbaf,fixed,diversity,15509,rev,fixed,gbaf,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
amazon_cds__gbaf_vs_fixed__diversity__u13752__fwd,amazon_cds__gbaf_vs_fixed__diversity__u13752__pair,local_only,amazon_cds,gbaf,fixed,diversity,13752,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
yelp__lightgcn_only_vs_fixed__diversity__u19308__rev,yelp__lightgcn_only_vs_fixed__diversity__u19308__pair,local_only,yelp,lightgcn_only,fixed,diversity,19308,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
yelp__lightgcn_only_vs_fixed__diversity__u362__fwd,yelp__lightgcn_only_vs_fixed__diversity__u362__pair,local_only,yelp,lightgcn_only,fixed,diversity,362,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
yelp__gbaf_vs_concat_mlp__diversity__u2600__rev,yelp__gbaf_vs_concat_mlp__diversity__u2600__pair,local_only,yelp,gbaf,concat_mlp,diversity,2600,rev,concat_mlp,gbaf,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
amazon_cds__lightgcn_only_vs_fixed__diversity__u14321__fwd,amazon_cds__lightgcn_only_vs_fixed__diversity__u14321__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,14321,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
amazon_cds__lightgcn_only_vs_fixed__diversity__u13209__fwd,amazon_cds__lightgcn_only_vs_fixed__diversity__u13209__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,13209,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
